"Country,Other",TotalCases,NewCases,TotalDeaths,NewDeaths,TotalRecovered,NewRecovered,ActiveCases,"Serious,Critical",Tot Cases/1M pop,Deaths/1M pop,TotalTests,Tests/1M pop,Population,Continent,New Cases/1M pop,New Deaths/1M pop,Active Cases/1M pop,Date
China,221804.0,239.0,5209.0,3.0,210454.0,448.0,6141.0,383.0,154.0,4.0,160000000.0,111163.0,,Asia,0.2,,4.0,2022-05-15
USA,84292674.0,50575.0,1026792.0,43.0,81282617.0,38479.0,1983265.0,1953.0,251899.0,3068.0,1017059576.0,3039372.0,334628210.0,North America,151.0,0.1,5927.0,2022-05-15
India,43123801.0,2202.0,524241.0,27.0,42582243.0,2550.0,17317.0,698.0,30686.0,373.0,844134156.0,600659.0,1405347114.0,Asia,2.0,0.02,12.0,2022-05-15
Brazil,30688390.0,6296.0,664967.0,47.0,29724682.0,6280.0,298741.0,8318.0,142484.0,3087.0,63776166.0,296108.0,215381747.0,South America,29.0,0.2,1387.0,2022-05-15
France,29183646.0,22844.0,147352.0,21.0,28170658.0,13984.0,865636.0,1329.0,445258.0,2248.0,271490188.0,4142151.0,65543289.0,Europe,349.0,0.3,13207.0,2022-05-15
Germany,25780270.0,5761.0,137921.0,14.0,23956700.0,31300.0,1685649.0,1279.0,305873.0,1636.0,122332384.0,1451425.0,84284340.0,Europe,68.0,0.2,20000.0,2022-05-15
UK,22198798.0,5001.0,177234.0,176.0,21703057.0,45287.0,318507.0,253.0,323824.0,2585.0,519264096.0,7574735.0,68552111.0,Europe,73.0,3.0,4646.0,2022-05-15
Russia,18260293.0,4956.0,377670.0,99.0,17647179.0,6200.0,235444.0,2300.0,125027.0,2586.0,273400000.0,1871945.0,146051337.0,Europe,34.0,0.7,1612.0,2022-05-15
S. Korea,17782061.0,25434.0,23709.0,48.0,17062917.0,76713.0,695435.0,338.0,346281.0,462.0,15804065.0,307762.0,51351596.0,Asia,495.0,0.9,13543.0,2022-05-15
Italy,17057981.0,27270.0,165244.0,62.0,15894511.0,30334.0,998226.0,347.0,282905.0,2741.0,217853667.0,3613083.0,60295781.0,Europe,452.0,1.0,16555.0,2022-05-15
Turkey,15054322.0,1154.0,98900.0,10.0,14952428.0,1190.0,2994.0,975.0,174981.0,1150.0,160742893.0,1868360.0,86034207.0,Asia,13.0,0.1,35.0,2022-05-15
Spain,12127122.0,,105444.0,,11548089.0,,473589.0,339.0,259190.0,2254.0,471036328.0,10067331.0,46788602.0,Europe,,,10122.0,2022-05-15
Vietnam,10696630.0,1594.0,43065.0,,9355040.0,5448.0,1298525.0,340.0,108075.0,435.0,85811485.0,867006.0,98974502.0,Asia,16.0,,13120.0,2022-05-15
Argentina,9135308.0,3615.0,128776.0,6.0,8895999.0,,110533.0,300.0,198721.0,2801.0,35716069.0,776936.0,,South America,79.0,0.1,2404.0,2022-05-15
Japan,8338211.0,38627.0,30039.0,34.0,7951587.0,26801.0,356585.0,139.0,66306.0,239.0,50444181.0,401136.0,125753381.0,Asia,307.0,0.3,2836.0,2022-05-15
Netherlands,8069451.0,1008.0,22294.0,,7989151.0,4694.0,58006.0,55.0,468999.0,1296.0,21107399.0,1226769.0,17205687.0,Europe,59.0,,3371.0,2022-05-15
Iran,7228051.0,368.0,141224.0,8.0,7020835.0,1967.0,65992.0,737.0,84046.0,1642.0,51771715.0,601990.0,86000969.0,Asia,4.0,0.09,767.0,2022-05-15
Australia,6593795.0,42171.0,7794.0,21.0,6199822.0,47638.0,386179.0,129.0,253096.0,299.0,70885598.0,2720873.0,26052516.0,Australia/Oceania,1619.0,0.8,14823.0,2022-05-15
Colombia,6095316.0,,139821.0,,5928829.0,,26666.0,342.0,117453.0,2694.0,34675581.0,668176.0,51895912.0,South America,,,514.0,2022-05-15
Indonesia,6050776.0,257.0,156458.0,5.0,5889534.0,293.0,4784.0,2771.0,21693.0,561.0,97245391.0,348642.0,278926112.0,Asia,0.9,0.02,17.0,2022-05-15
Poland,6003436.0,139.0,116207.0,,5335112.0,12.0,552117.0,981.0,158951.0,3077.0,36224215.0,959094.0,37769194.0,Europe,4.0,,14618.0,2022-05-15
Mexico,5745652.0,,324465.0,,5044893.0,,376294.0,4798.0,43705.0,2468.0,15855490.0,120608.0,131463005.0,North America,,,2862.0,2022-05-15
Ukraine,5006460.0,,108449.0,,,,,177.0,115775.0,2508.0,19521252.0,451430.0,43243125.0,Europe,,,19425.0,2022-05-15
Malaysia,4478112.0,2239.0,35615.0,3.0,4411762.0,2603.0,30735.0,45.0,135125.0,1075.0,59316942.0,1789860.0,33140550.0,Asia,68.0,0.09,927.0,2022-05-15
Thailand,4373846.0,6094.0,29475.0,51.0,4273599.0,8601.0,70772.0,1496.0,62370.0,420.0,17270775.0,246278.0,70127121.0,Asia,87.0,0.7,1009.0,2022-05-15
Austria,4212492.0,3335.0,18303.0,,4135885.0,4886.0,58304.0,58.0,462790.0,2011.0,185034905.0,20328176.0,9102386.0,Europe,366.0,,6405.0,2022-05-15
Belgium,4116397.0,,31613.0,,3941350.0,6222.0,143434.0,117.0,352316.0,2706.0,33846023.0,2896825.0,11683836.0,Europe,,,12276.0,2022-05-15
Israel,4108401.0,3032.0,10800.0,9.0,4081150.0,3404.0,16451.0,150.0,440532.0,1158.0,41373364.0,4436346.0,9326000.0,Asia,325.0,1.0,1764.0,2022-05-15
Portugal,4066674.0,,22583.0,,,,,61.0,401006.0,2227.0,41903714.0,4132034.0,10141184.0,Europe,,,115165.0,2022-05-15
Czechia,3915847.0,143.0,40246.0,,3871647.0,1153.0,3954.0,14.0,364397.0,3745.0,55323981.0,5148290.0,10746089.0,Europe,13.0,,368.0,2022-05-15
South Africa,3891793.0,4344.0,100755.0,2.0,3710696.0,2349.0,80342.0,192.0,64110.0,1660.0,24885511.0,409939.0,60705378.0,Africa,72.0,0.03,1323.0,2022-05-15
Canada,3823829.0,2483.0,40258.0,30.0,3501516.0,1952.0,282055.0,423.0,99682.0,1049.0,61436458.0,1601565.0,38360271.0,North America,65.0,0.8,7353.0,2022-05-15
Philippines,3688132.0,210.0,60458.0,3.0,3624769.0,310.0,2905.0,289.0,32840.0,538.0,29827732.0,265595.0,112305239.0,Asia,2.0,0.03,26.0,2022-05-15
Switzerland,3631881.0,,13882.0,,3551493.0,5604.0,66506.0,78.0,413991.0,1582.0,20927607.0,2385498.0,8772845.0,Europe,,,7581.0,2022-05-15
Chile,3605522.0,4626.0,57722.0,8.0,3468131.0,3406.0,79669.0,159.0,185634.0,2972.0,37693651.0,1940700.0,19422708.0,South America,238.0,0.4,4102.0,2022-05-15
Peru,3572423.0,504.0,213040.0,17.0,,,,248.0,105600.0,6297.0,30251229.0,894220.0,33829721.0,South America,15.0,0.5,48440.0,2022-05-15
Greece,3392575.0,3269.0,29547.0,11.0,3306014.0,4247.0,57014.0,176.0,328484.0,2861.0,81233888.0,7865420.0,10327978.0,Europe,317.0,1.0,5520.0,2022-05-15
Denmark,2976667.0,452.0,6287.0,2.0,2960386.0,617.0,9994.0,12.0,510551.0,1078.0,127345763.0,21842056.0,5830301.0,Europe,78.0,0.3,1714.0,2022-05-15
