"Country,Other",TotalCases,NewCases,TotalDeaths,NewDeaths,TotalRecovered,NewRecovered,ActiveCases,"Serious,Critical",Tot Cases/1M pop,Deaths/1M pop,TotalTests,Tests/1M pop,Population,Continent,New Cases/1M pop,New Deaths/1M pop,Active Cases/1M pop,Date
China,"220,721",+324,"5,198 ",+7,"207,955",+817,"7,568",484,153,4,"160,000,000","111,163","1,439,323,776 ",Asia,0.2,,5,2022-05-11
USA,"83,953,371","+87,487","1,025,764 ",+226,"81,107,296","+46,529","1,820,311","1,794","250,905","3,066","1,014,741,268","3,032,684","334,601,743 ",North America,261,0.7,"5,440",2022-05-11
India,"43,113,413","+2,827","524,181 ",+24,"42,570,165","+3,230","19,067", 698,"30,682",373,"841,986,891","599,210","1,405,161,912 ",Asia,2,0.02,14,2022-05-11
Brazil,"30,617,786","+23,398","664,564 ",+121,"29,697,931","+16,811","255,291","8,318","142,170","3,086","63,776,166","296,136","215,361,137 ",South America,109,0.6,"1,185",2022-05-11
France,"29,061,523","+40,299","147,075 ",+96,"27,929,038","+103,884","985,410","1,364","443,408","2,244","269,816,888","4,116,745","65,541,322 ",Europe,615,1,"15,035",2022-05-11
Germany,"25,583,258","+93,102","137,449 ",+227,"23,676,700","+139,800","1,769,109","1,279","303,548","1,631","122,332,384","1,451,488","84,280,690 ",Europe,"1,105",3,"20,991",2022-05-11
UK,"22,145,157",+529,"176,424 ",,"21,616,575","+26,588","352,158",253,"323,064","2,574","519,264,096","7,575,273","68,547,249 ",Europe,8,,"5,137",2022-05-11
Russia,"18,241,329","+4,102","377,248 ",+98," 17,619,414","+5,043","244,667","2,300","124,897","2,583","273,400,000","1,871,955","146,050,485 ",Europe,28,0.7,"1,675",2022-05-11
S. Korea,"17,658,794","+43,899","23,491 ",+29,,,,383,"343,884",457,"15,804,065","307,766","51,350,995 ",Asia,855,0.6,"324,546",2022-05-11
Italy,"16,915,301","+42,249","164,846 ",+115,"15,709,259","+84,344","1,041,196",338,"280,533","2,734","216,861,042","3,596,548","60,296,991 ",Europe,701,2,"17,268",2022-05-11
Turkey,"15,048,449","+1,670","98,870 ",+9,"14,946,104","+1,711","3,475",975,"174,938","1,149"," 160,225,407","1,862,614","86,021,816 ",Asia,19,0.1,40,2022-05-11
Spain,"12,058,888",,"105,123 ",,"11,522,364",,"431,401",339,"257,733","2,247","471,036,328","10,067,384","46,788,355 ",Europe,,,"9,220",2022-05-11
Vietnam,"10,683,972","+2,758","43,060 ",+2,"9,327,523","+2,589","1,313,389",365,"107,960",435,"85,806,532","867,061","98,962,550 ",Asia,28,0.02,"13,272",2022-05-11
Argentina,"9,101,319",,"128,729 ",,"8,895,999",,"76,591",372,"198,006","2,801","35,716,069","777,031","45,964,778 ",South America,,,"1,666",2022-05-11
Japan,"8,172,238","+39,041","29,894 ",+51,"7,814,056","+29,901","328,288",163,"64,984",238,"49,847,482","396,374","125,758,647 ",Asia,310,0.4,"2,610",2022-05-11
Netherlands,"8,064,424","+1,401","22,287 ",+6,"7,973,258","+6,623","68,879",57," 468,721","1,295","21,107,399","1,226,806","17,205,170 ",Europe,81,0.3,"4,003",2022-05-11
Iran,"7,226,672",+453,"141,198 ",+6,"7,012,770","+2,072","72,704",818,"84,044","1,642","51,622,353","600,356","85,986,283 ",Asia,5,0.07,846,2022-05-11
Australia,"6,391,910"," +57,088","7,616 ",+51,"5,983,298",,"400,996",114,"245,385",292,"70,221,824","2,695,813","26,048,475 ",Australia/Oceania,"2,192",2,"15,394",2022-05-11
Colombia,"6,093,645",,"139,809 ",,"5,927,076",,"26,760",342,"117,437","2,694","34,560,302","666,049","51,888,507 ",South America,,,516,2022-05-11
Indonesia,"6,049,541",+400,"156,424 ",+8,"5,887,786",+916,"5,331","2,771","21,692",561,"96,868,506","347,340","278,886,623 ",Asia,1,0.03,19,2022-05-11
